dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,[15],0.001,relu,adam,10,0.46949889802714634
1_ef_b.csv,[15],0.001,relu,adam,25,0.8062199893502017
1_ef_b.csv,[15],0.001,relu,adam,50,0.8395670484553829
1_ef_b.csv,[15],0.001,relu,sgd,10,0.32790323402088106
1_ef_b.csv,[15],0.001,relu,sgd,25,0.3518404772547513
1_ef_b.csv,[15],0.001,relu,sgd,50,0.4800328272485304
1_ef_b.csv,[15],0.001,relu,rmsprop,10,0.8360684443365696
1_ef_b.csv,[15],0.001,relu,rmsprop,25,0.8470814139768077
1_ef_b.csv,[15],0.001,relu,rmsprop,50,0.8598298047065102
1_ef_b.csv,[15],0.001,tanh,adam,10,0.6978812061511256
1_ef_b.csv,[15],0.001,tanh,adam,25,0.8215613507751545
1_ef_b.csv,[15],0.001,tanh,adam,50,0.832626430417128
1_ef_b.csv,[15],0.001,tanh,sgd,10,0.5244610524806816
1_ef_b.csv,[15],0.001,tanh,sgd,25,0.34936241996697526
1_ef_b.csv,[15],0.001,tanh,sgd,50,0.5989110539021781
1_ef_b.csv,[15],0.001,tanh,rmsprop,10,0.8479060535864651
1_ef_b.csv,[15],0.001,tanh,rmsprop,25,0.8531596213429629
1_ef_b.csv,[15],0.001,tanh,rmsprop,50,0.8563071242465634
1_ef_b.csv,[15],0.01,relu,adam,10,0.8580200601571109
1_ef_b.csv,[15],0.01,relu,adam,25,0.8591120022953438
1_ef_b.csv,[15],0.01,relu,adam,50,0.85293139658491
1_ef_b.csv,[15],0.01,relu,sgd,10,0.5440948597731861
1_ef_b.csv,[15],0.01,relu,sgd,25,0.4178986038485785
1_ef_b.csv,[15],0.01,relu,sgd,50,0.7287085538703864
1_ef_b.csv,[15],0.01,relu,rmsprop,10,0.8563071242465634
1_ef_b.csv,[15],0.01,relu,rmsprop,25,0.8313720408623922
1_ef_b.csv,[15],0.01,relu,rmsprop,50,0.8358099551939236
1_ef_b.csv,[15],0.01,tanh,adam,10,0.853426383566247
1_ef_b.csv,[15],0.01,tanh,adam,25,0.8615362447195863
1_ef_b.csv,[15],0.01,tanh,adam,50,0.8525229741019216
1_ef_b.csv,[15],0.01,tanh,sgd,10,0.5619174294377836
1_ef_b.csv,[15],0.01,tanh,sgd,25,0.7073253051285289
1_ef_b.csv,[15],0.01,tanh,sgd,50,0.801586165840648
1_ef_b.csv,[15],0.01,tanh,rmsprop,10,0.8511513632566263
1_ef_b.csv,[15],0.01,tanh,rmsprop,25,0.8532655281614889
1_ef_b.csv,[15],0.01,tanh,rmsprop,50,0.8572391671798302
1_ef_b.csv,[15],0.1,relu,adam,10,0.8512430848965984
1_ef_b.csv,[15],0.1,relu,adam,25,0.8582546910453888
1_ef_b.csv,[15],0.1,relu,adam,50,0.8486147909517167
1_ef_b.csv,[15],0.1,relu,sgd,10,0.8324822939554324
1_ef_b.csv,[15],0.1,relu,sgd,25,0.8490725263145119
1_ef_b.csv,[15],0.1,relu,sgd,50,0.8532302011696403
1_ef_b.csv,[15],0.1,relu,rmsprop,10,0.7627869245110902
1_ef_b.csv,[15],0.1,relu,rmsprop,25,0.7926322617441038
1_ef_b.csv,[15],0.1,relu,rmsprop,50,0.7554589074962882
1_ef_b.csv,[15],0.1,tanh,adam,10,0.8494783097861699
1_ef_b.csv,[15],0.1,tanh,adam,25,0.8658513907249551
1_ef_b.csv,[15],0.1,tanh,adam,50,0.8584831433567078
1_ef_b.csv,[15],0.1,tanh,sgd,10,0.8488944761273627
1_ef_b.csv,[15],0.1,tanh,sgd,25,0.8565033066431701
1_ef_b.csv,[15],0.1,tanh,sgd,50,0.8565033066431701
1_ef_b.csv,[15],0.1,tanh,rmsprop,10,0.8655508670239775
1_ef_b.csv,[15],0.1,tanh,rmsprop,25,0.8593489683464842
1_ef_b.csv,[15],0.1,tanh,rmsprop,50,0.8643298984354899
1_ef_b.csv,"[15, 15]",0.001,relu,adam,10,0.5431474897651368
1_ef_b.csv,"[15, 15]",0.001,relu,adam,25,0.7274536410816123
1_ef_b.csv,"[15, 15]",0.001,relu,adam,50,0.8392797189973056
1_ef_b.csv,"[15, 15]",0.001,relu,sgd,10,0.23826004611330695
1_ef_b.csv,"[15, 15]",0.001,relu,sgd,25,0.5248849924585219
1_ef_b.csv,"[15, 15]",0.001,relu,sgd,50,0.2937435897435898
1_ef_b.csv,"[15, 15]",0.001,relu,rmsprop,10,0.8547428100078305
1_ef_b.csv,"[15, 15]",0.001,relu,rmsprop,25,0.8565033066431701
1_ef_b.csv,"[15, 15]",0.001,relu,rmsprop,50,0.8565033066431701
1_ef_b.csv,"[15, 15]",0.001,tanh,adam,10,0.7138667335270831
1_ef_b.csv,"[15, 15]",0.001,tanh,adam,25,0.8018572582455926
1_ef_b.csv,"[15, 15]",0.001,tanh,adam,50,0.8512230610229652
1_ef_b.csv,"[15, 15]",0.001,tanh,sgd,10,0.29936399347182396
1_ef_b.csv,"[15, 15]",0.001,tanh,sgd,25,0.3894993046226627
1_ef_b.csv,"[15, 15]",0.001,tanh,sgd,50,0.4980917371757395
1_ef_b.csv,"[15, 15]",0.001,tanh,rmsprop,10,0.8603869522290575
1_ef_b.csv,"[15, 15]",0.001,tanh,rmsprop,25,0.8591120022953438
1_ef_b.csv,"[15, 15]",0.001,tanh,rmsprop,50,0.8587313666708057
1_ef_b.csv,"[15, 15]",0.01,relu,adam,10,0.8557299236693628
1_ef_b.csv,"[15, 15]",0.01,relu,adam,25,0.8537600589088002
1_ef_b.csv,"[15, 15]",0.01,relu,adam,50,0.8467701628482412
1_ef_b.csv,"[15, 15]",0.01,relu,sgd,10,0.3578435500718109
1_ef_b.csv,"[15, 15]",0.01,relu,sgd,25,0.41194566757284534
1_ef_b.csv,"[15, 15]",0.01,relu,sgd,50,0.5555139446793178
1_ef_b.csv,"[15, 15]",0.01,relu,rmsprop,10,0.8503926479849188
1_ef_b.csv,"[15, 15]",0.01,relu,rmsprop,25,0.8553334323521143
1_ef_b.csv,"[15, 15]",0.01,relu,rmsprop,50,0.8552783960739896
1_ef_b.csv,"[15, 15]",0.01,tanh,adam,10,0.8540279390717457
1_ef_b.csv,"[15, 15]",0.01,tanh,adam,25,0.8486989212160838
1_ef_b.csv,"[15, 15]",0.01,tanh,adam,50,0.8542330986027435
1_ef_b.csv,"[15, 15]",0.01,tanh,sgd,10,0.658769425019425
1_ef_b.csv,"[15, 15]",0.01,tanh,sgd,25,0.6851119118206357
1_ef_b.csv,"[15, 15]",0.01,tanh,sgd,50,0.7400462641428023
1_ef_b.csv,"[15, 15]",0.01,tanh,rmsprop,10,0.8551316697540955
1_ef_b.csv,"[15, 15]",0.01,tanh,rmsprop,25,0.8513687293081684
1_ef_b.csv,"[15, 15]",0.01,tanh,rmsprop,50,0.856140594575075
1_ef_b.csv,"[15, 15]",0.1,relu,adam,10,0.8458800304688378
1_ef_b.csv,"[15, 15]",0.1,relu,adam,25,0.8444388973112378
1_ef_b.csv,"[15, 15]",0.1,relu,adam,50,0.8597862440500524
1_ef_b.csv,"[15, 15]",0.1,relu,sgd,10,0.7184742451398218
1_ef_b.csv,"[15, 15]",0.1,relu,sgd,25,0.8292216138133425
