dataset,hidden_layers,learning_rate,activation,optimizer,epochs,avg_f1_score
1_ef_b.csv,[15],0.001,relu,adam,10,0.5045603781921641
1_ef_b.csv,[15],0.001,relu,adam,25,0.6722610279494391
1_ef_b.csv,[15],0.001,relu,adam,50,0.8448669184272898
1_ef_b.csv,[15],0.001,relu,sgd,10,0.456099508193761
1_ef_b.csv,[15],0.001,relu,sgd,25,0.3411807272881191
1_ef_b.csv,[15],0.001,relu,sgd,50,0.37025057201136446
1_ef_b.csv,[15],0.001,relu,rmsprop,10,0.8222118085043432
1_ef_b.csv,[15],0.001,relu,rmsprop,25,0.8476457970154421
1_ef_b.csv,[15],0.001,relu,rmsprop,50,0.8557479465821226
1_ef_b.csv,[15],0.001,tanh,adam,10,0.6637591699946636
1_ef_b.csv,[15],0.001,tanh,adam,25,0.7765940824162731
1_ef_b.csv,[15],0.001,tanh,adam,50,0.847723164346814
1_ef_b.csv,[15],0.001,tanh,sgd,10,0.6095405777344038
1_ef_b.csv,[15],0.001,tanh,sgd,25,0.3742808697573808
1_ef_b.csv,[15],0.001,tanh,sgd,50,0.7101017230896028
1_ef_b.csv,[15],0.001,tanh,rmsprop,10,0.8270384935607193
1_ef_b.csv,[15],0.001,tanh,rmsprop,25,0.8539663087573348
1_ef_b.csv,[15],0.001,tanh,rmsprop,50,0.8565033066431701
1_ef_b.csv,[15],0.01,relu,adam,10,0.8490139318046295
1_ef_b.csv,[15],0.01,relu,adam,25,0.8591120022953438
1_ef_b.csv,[15],0.01,relu,adam,50,0.8501969088504223
1_ef_b.csv,[15],0.01,relu,sgd,10,0.40863959017299417
1_ef_b.csv,[15],0.01,relu,sgd,25,0.6218492657168617
1_ef_b.csv,[15],0.01,relu,sgd,50,0.7760759288186438
1_ef_b.csv,[15],0.01,relu,rmsprop,10,0.8536984285943895
1_ef_b.csv,[15],0.01,relu,rmsprop,25,0.838633733745495
1_ef_b.csv,[15],0.01,relu,rmsprop,50,0.8377296740340219
1_ef_b.csv,[15],0.01,tanh,adam,10,0.8591120022953438
1_ef_b.csv,[15],0.01,tanh,adam,25,0.8591120022953438
1_ef_b.csv,[15],0.01,tanh,adam,50,0.8511513632566263
1_ef_b.csv,[15],0.01,tanh,sgd,10,0.6459310074199585
1_ef_b.csv,[15],0.01,tanh,sgd,25,0.7926937686989455
1_ef_b.csv,[15],0.01,tanh,sgd,50,0.8360424957647803
1_ef_b.csv,[15],0.01,tanh,rmsprop,10,0.8550700394396845
1_ef_b.csv,[15],0.01,tanh,rmsprop,25,0.8548215922347155
1_ef_b.csv,[15],0.01,tanh,rmsprop,50,0.8521502798073055
1_ef_b.csv,[15],0.1,relu,adam,10,0.8573543704729572
1_ef_b.csv,[15],0.1,relu,adam,25,0.8435983880496758
1_ef_b.csv,[15],0.1,relu,adam,50,0.8558002655903897
1_ef_b.csv,[15],0.1,relu,sgd,10,0.7572297623727366
1_ef_b.csv,[15],0.1,relu,sgd,25,0.8386508335171616
1_ef_b.csv,[15],0.1,relu,sgd,50,0.8560350792184208
1_ef_b.csv,[15],0.1,relu,rmsprop,10,0.7631265161788418
1_ef_b.csv,[15],0.1,relu,rmsprop,25,0.7842665651531932
1_ef_b.csv,[15],0.1,relu,rmsprop,50,0.7953221596851205
